Headers,Admin.profile,Analytics Cloud Integration User.profile,Analytics Cloud Security User.profile,Chatter External User.profile,Chatter Free User.profile,Chatter Moderator User.profile,Chatter Only User.profile,Company Communities User.profile,ContractManager.profile,CPQ Integration User.profile,Customer Community Login User.profile,Customer Community Plus Login User.profile,Customer Community Plus User.profile,Customer Community User.profile,External Identity User.profile,Guest License User.profile,High Volume Customer Portal User.profile,MarketingProfile.profile,Partner Community Login User.profile,Partner Community User.profile,ReadOnly.profile,Restaurant POC.profile,Restaurant Portal Profile.profile,SolutionManager.profile,Staff.profile,Standard.profile,StandardAul.profile,Work%2Ecom Only User.profile,Field_Service_Mobile_Permission.permissionset,Files_Connect.permissionset,Inspector.permissionset,Platform_Encryption_Management.permissionset,Restaurant_POC_Knowledge.permissionset,Supervisor.permissionset
CreateWorkBadgeDefinition,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CreateWorkspaces,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CustomizeApplication,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DataExport,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DelegatedTwoFactor,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeleteActivatedContract,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DeleteTopics,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DistributeFromPersWksp,True,-,-,-,True,True,True,True,True,-,-,-,-,-,-,-,-,True,-,-,-,-,-,True,-,True,True,True,-,-,-,-,-,-
EditActivatedOrders,True,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditBillingInfo,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditBrandTemplates,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditCaseComments,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditEvent,True,-,-,-,-,-,True,True,True,-,-,-,-,-,-,-,-,True,-,-,-,-,-,True,True,True,True,True,-,-,-,-,-,-
EditHtmlTemplates,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditKnowledge,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-
EditMyDashboards,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-
EditMyReports,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-
EditOppLineItemUnitPrice,True,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,True,True,True,True,-,-,True,True,True,-,-,-,-,-,-,-,-
EditPublicDocuments,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-
EditPublicFilters,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditPublicTemplates,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditReadonlyFields,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EditTask,True,-,-,-,-,-,True,True,True,-,-,True,True,-,-,-,-,True,True,True,-,-,-,True,-,True,True,True,-,-,-,-,-,-
EditTopics,True,-,-,True,True,True,True,True,True,-,-,True,True,-,-,-,-,True,True,True,True,-,-,True,True,True,True,True,-,-,-,-,-,-
EditTranslation,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EmailMass,True,-,-,-,-,-,-,-,True,-,-,-,-,-,-,-,-,True,-,-,-,-,-,True,-,True,True,True,-,-,-,-,-,-
EmailSingle,True,-,-,-,-,-,True,True,True,-,-,-,-,-,-,-,-,True,-,-,-,-,-,True,-,True,True,True,-,-,-,-,-,-
EnableCommunityAppLauncher,True,True,True,True,True,True,True,True,True,-,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,-,-,-,-,-,-
EnableNotifications,True,-,-,-,-,-,True,True,True,-,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,-,-,-,-,-,-
